text,label
The Killing Dance (Anita Blake  Vampire Hunter  #6),0
A Woman in Jerusalem,0
Thumbsucker,0
"Adventures of Rocky and Bullwinkle, The (2000)",1
"Place in the Sun, A (1951)",1
Howl: Original Draft Facsimile  Transcript & Variant Versions  Fully Annotated by Author  with Contemporaneous Correspondence,0
There Was a Cold Lady Who Swallowed Some Snow!,0
Swimming with Sharks (1995),1
McHale's Navy (1997),1
Winds of Fate (Valdemar: Mage Winds #1),0
For the Moment (1994),1
Earthbound,0
Three Men in a Boat (Three Men  #1),0
Beyond the Mat (2000),1
My Favorite Year: A Collection of Football Writing,0
"Age of Innocence, The (1993)",1
Fright Night Part II (1989),1
A Tale of Two Cities,0
The Golden Apples,0
"Inkwell, The (1994)",1
A Different Mirror: A History of Multicultural America,0
Twilight of the Idols/The Anti-Christ,0
The Deep (Dive  #2),0
Virtuosity (1995),1
Desert Blue (1999),1
"Perfect World, A (1993)",1
"Very Natural Thing, A (1974)",1
Powder (1995),1
Been Down So Long It Looks Like Up To Me,0
Homeless (Wild at Heart  #2),0
A Madman Dreams of Turing Machines,0
A People's History of the United States,0
The Minimalist Cooks at Home: Recipes That Give You More Flavor from Fewer Ingredients in Less Time,0
Blood & Wine (1997),1
House of Sand and Fog,0
Nénette et Boni (1996),1
The Deeds of the Disturber (Amelia Peabody  #5),0
Rebel Without a Cause (1955),1
Berlioz: Servitude and Greatness  1832-1869 (Volume 2),0
Tinseltown (1998),1
She's Gotta Have It (1986),1
Seventy-Seven Clocks (Bryant & May #3),0
A Short History of Nearly Everything,0
The Rosetta Codex,0
Amazing Disgrace (Gerald Samper #2),0
Condorman (1981),1
Stop! Or My Mom Will Shoot (1992),1
Vacation (1983),1
Running Dog,0
Underworld (1997),1
Robocop 2 (1990),1
Meet Wally Sparks (1997),1
The Grotesque,0
Amityville 1992: It's About Time (1992),1
Deep Blue Sea (1999),1
Le Portrait de Dorian Gray,0
Shopgirl,0
Take the Money and Run (1969),1
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,0
Runaway Train (1985),1
Generation of Swine: Tales of Shame and Degradation in the '80's,0
"Gnome-Mobile, The (1967)",1
Eva Hesse Drawing,0
Mr. Murder,0
Unforgettable (1996),1
"Guardian, The (1990)",1
Clean Slate (1994),1
Three Kings (1999),1
Where We Stand: Class Matters,0
